elexonBmUnit,nationalGridBmUnit,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,demandCapacity,gspGroupId,gspGroupName,interconnectorId
T_FIDL-3,FIDL-3,Fiddler's Ferry 3,,T,Keadby Generation Limited,20.000,-20.000,,,
T_FIDL-3G,FIDL-3G,Fiddler's Ferry GT 3,,T,Keadby Generation Limited,1.000,-1.000,,,
T_FIDL-4,FIDL-4,Fiddler's Ferry 4,,T,Keadby Generation Limited,1.000,-1.000,,,
T_FIDLST1,FIDLST1,Fiddler's Ferry ST1,,T,Keadby Generation Limited,20.000,-66.000,,,
T_FINL-1,FINL-1,Finlarig,NPSHYD,T,SSE Generation Ltd,85.794,-0.100,,,
2__FJERE000,FJERE000,2__FJERE000,,G,Shell Energy UK Limited,0.000,0.000,_F,_F - Northern,
T_FOYE-1,FOYE-1,Foyers G1,PS,T,SSE Generation Ltd,160.000,-156.000,,,
T_FOYE-2,FOYE-2,Foyers G2,PS,T,SSE Generation Ltd,160.000,-157.300,,,
T_FOYED-1,FOYED-1,Foyers Stn Txs,,T,SSE Generation Ltd,1.040,-3.000,,,
,FRBRW-1,,WIND,,,,,,,
T_FSDLW-1,FSDLW-1,Freasdail Wind Farm,WIND,T,Freasdail Energy Limited,22.200,-0.400,,,
,FUABW-1,,WIND,,,,,,,
T_GANW-11,GAOFO-1,Galloper OSP 11,WIND,T,Galloper Offshore WindFarm Ltd,88.000,-3.000,,,
T_GANW-22,GAOFO-2,Galloper OSP 22,WIND,T,Galloper Offshore WindFarm Ltd,385.820,-3.000,,,
T_GANW-13,GAOFO-3,Galloper OSP 13,WIND,T,Galloper Offshore WindFarm Ltd,88.000,-3.000,,,
T_GANW-24,GAOFO-4,Galloper OSP 24,WIND,T,Galloper Offshore WindFarm Ltd,88.000,-3.000,,,
E_GDSTW-1,GDSTW-1,Gordonstown,WIND,E,Mobius Renewables Gen. (GB),13.289,-0.088,_P,North Scotland,
E_GFLDW-1,GFLDW-1,Goole Fields Wind Farm,,E,Edgware Energy Limited,32.800,-0.220,_M,Yorkshire,
2__GFSEN005,GFSE01,2__GFSENOK5,,S,F & S Energy Ltd,48.783,-48.840,_G,North Western,
2__GFSEN006,GFSE02,2__GFSENOK6,,S,F & S Energy Ltd,46.138,-47.926,_G,North Western,
2__GJERE000,GJERE000,2__GJERE000,,G,Shell Energy UK Limited,0.000,0.000,_G,North Western,
E_GLCHW-1,GLCHW-1,Glenchamber,WIND,E,ENGIE Power Limited,27.440,0.000,_N,South Scotland,
T_GLEND-1,GLEND-1,Dundreggan Station Demand,,T,SSE Generation Ltd,0.100,-0.120,,,
T_GLNDO-1,GLNDO-1,Glendoe Generator 1,NPSHYD,T,SSE Generation Ltd,100.000,-1.124,,,
T_GLNDOD1,GLNDOD1,Glendoe Earthing Tx Stn Dem,,T,SSE Generation Ltd,0.000,-0.180,,,
T_GLNKW-1,GLNKW-1,GLEN KYLLACHY WINDFARM,WIND,T,EDF Energy Customers Limited,52.000,-2.000,,,
E_GLOFW-1,GLOFW-1,Glens of Foudland,WIND,E,Glens of Foudland Ltd,26.700,-2.000,_P,North Scotland,
2__JCPPR002,GLSBB-1,Glassenbury B,,S,Octopus Energy Trading Limited,10.000,-10.000,_J,South Eastern,
T_GLWSW-1,GLWSW-1,Galawhistle Wind Farm,WIND,T,GALAWHISTLE WIND FARM,55.200,-0.720,,,
T_GNAPW-1,GNAPW-1,Glen App Windfarm,WIND,T,SP Renewables (UK) Limited,22.000,-2.000,,,
T_GNFSW-1,GNFSW-1,Gunfleet Sands 1,WIND,T,Gunfleet Sands Limited,108.000,-2.000,,,
T_GNFSW-2,GNFSW-2,Gunfleet Sands 2,WIND,T,Gunfleet Sands II Limited,64.480,-4.383,,,
T_GORDD-1,GORDD-1,Gordonbush Demand,,T,SSE Generation Ltd,0.000,-0.100,,,
T_GORDW-1,GORDW-1,Gordon Bush,WIND,T,SSE Generation Ltd,86.764,-31.650,,,
T_GORDW-2,GORDW-2,Gordonbush WF Extension,WIND,T,SSE Generation Ltd,58.733,-0.600,,,
E_GOSHS-1,GOSHS-1,Goose House Lane,,E,Conrad Energy (Trading) Ltd,20.000,-1.000,_G,North Western,
T_GOWKD-1,GOWKD-1,T_GOWKD-1,,T,EDF Energy Customers Limited,0.000,-12.000,,,
T_GRAI-6,GRAI-6,T_GRAI-6,CCGT,T,Uniper UK Limited,468.000,-14.000,,,
T_GRAI-7,GRAI-7,T_GRAI-7,CCGT,T,Uniper UK Limited,468.000,-14.000,,,
T_GRAI-8,GRAI-8,T_GRAI-8,CCGT,T,Uniper UK Limited,468.000,-14.000,,,
T_GRAI1G,GRAI1G,T_GRAI1G,OCGT,T,Uniper UK Limited,30.000,0.000,,,
T_GRAI4G,GRAI4G,T_GRAI4G,OCGT,T,Uniper UK Limited,28.770,0.000,,,
T_GRAISC-1,GRAISC-1,Grain Synch Comp 1,,T,Uniper UK Limited,0.524,-10.000,,,
T_GRAISC-2,GRAISC-2,Grain Synch Comp 2,,T,Uniper UK Limited,0.000,-10.000,,,
E_GRCRB-1,GRCRB-1,Gerrards Cross BESS,,E,FIELD GERRARDS CROSS LTD,20.000,-20.000,_H,Southern,
T_GRGBW-1,GRGBW-1,Greater Gabbard Module 1,WIND,T,Greater Gabbard Offshore Winds,240.000,-5.000,,,
T_GRGBW-2,GRGBW-2,Greater Gabbard Module 2,WIND,T,Greater Gabbard Offshore Winds,240.000,-5.000,,,
T_GRGBW-3,GRGBW-3,Greater Gabbard Module 3,WIND,T,Greater Gabbard Offshore Winds,240.000,-5.000,,,
E_GRGRW-1,GRGRW-1,Greengairs East WF-1,WIND,E,Greengairs East Wind Farm Ltd,37.649,-0.500,_N,South Scotland,
T_GRIFW-1,GRIFW-1,Griffin Wind Farm 1,WIND,T,Griffin Wind Farm Ltd,102.000,-3.000,,,
T_GRIFW-2,GRIFW-2,Griffin Wind Farm 2,WIND,T,Griffin Wind Farm Ltd,104.000,-3.000,,,
T_GRIFWD-1,GRIFWD-1,Griffin Windfarm Demand BMU,,T,Griffin Wind Farm Ltd,0.000,-1.000,,,
,GRKNW-1,,WIND,,,,,,,
T_GRMO-1,GRMO-1,T_GRMO-1,CCGT,T,Grangemouth CHP Ltd,0.000,0.000,,,
T_GRTSC-1,GRTSC-1,Gretna,,T,Flexitricity Limited,0.000,-10.000,,,
,GRUB-1,,NPSHYD,,,,,,,
,GRUB-2,,NPSHYD,,,,,,,
2__GSMAE003,GSMA03,2__GSMAE003,,S,Smartestenergy Limited,61.882,0.000,_G,North Western,
E_GYAR-1,GYAR-1,Great Yarmouth Power Limited,CCGT,E,RWE Generation UK plc,402.000,-18.000,_A,Eastern,
T_GYMRD-16,GYMRD-16,GyM Onshore non est Dem 16,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMRD-2,GYMRD-2,GyM Onshore est Dem 2,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMRD-E10,GYMRD-E10,GyM OSPE non est Dem 10,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMRD-E11,GYMRD-E11,GyM OSPE est Dem 11,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMRD-W10,GYMRD-W10,GyM OSPW non est Dem 10,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMRD-W11,GYMRD-W11,GyM OSPW est Dem 11,,T,Gwynt y Mor Offshore Wind Farm,0.000,-1.000,,,
T_GYMR-15,GYMRO-15,GyM OSPE 15,WIND,T,Gwynt y Mor Offshore Wind Farm,148.000,-3.000,,,
T_GYMR-17,GYMRO-17,GyM OSPE 17,WIND,T,Gwynt y Mor Offshore Wind Farm,148.000,-3.000,,,
T_GYMR-26,GYMRO-26,GyM OSPW 26,WIND,T,Gwynt y Mor Offshore Wind Farm,148.000,-3.000,,,
T_GYMR-28,GYMRO-28,GyM OSPW 28,WIND,T,Gwynt y Mor Offshore Wind Farm,148.000,-3.000,,,
T_HADHW-1,HADHW-1,Hadyard Hill Wind Farm,WIND,T,SSE Renewables Wind Farms,130.000,-0.660,,,
T_HAGHW-2,HAGHW-2,Hagshaw Repower 2,,T,HAGSHAW HILL REPOWERING LTD,51.300,-0.250,,,
T_HAHAW-1,HAHAW-1,Hagshaw Repower 1,WIND,T,HAGSHAW HILL REPOWERING LTD,30.258,-0.250,,,
T_HALSW-1,HALSW-1,Halsary Windfarm,WIND,T,SP Renewables (UK) Limited,30.000,-1.000,,,
,HAMHB-1,,OTHER,,,,,,,
,HAMHB-2,,OTHER,,,,,,,
,HAMHB-3,,OTHER,,,,,,,
,HAMHB-4,,OTHER,,,,,,,
,HAWFW-1,,WIND,,,,,,,
E_HAWKB-1,HAWKB-1,HawkersHill  Battery,,E,Tesla Motors Limited,20.000,-20.000,_H,Southern,
E_HBHDW-1,HBHDW-1,HARBURNHEADWF,WIND,E,LDV Harburnhead Ltd,51.700,-0.542,_N,South Scotland,
T_HEYM11,HEYM11,Heysham 1 Generator 1,NUCLEAR,T,EDF Energy Nuclear Generation,610.000,-45.000,,,
T_HEYM12,HEYM12,Heysham 1 Generator 2,NUCLEAR,T,EDF Energy Nuclear Generation,585.000,-47.000,,,
T_HEYM27,HEYM27,Heysham 2 Generator 7,NUCLEAR,T,EDF Energy Nuclear Generation,660.000,-27.008,,,
T_HEYM28,HEYM28,Heysham 2 Generator 8,NUCLEAR,T,EDF Energy Nuclear Generation,676.152,-41.776,,,
T_HEYM2-D,HEYM2D-1,Heysham 2 Station Demand,,T,EDF Energy Nuclear Generation,0.000,-298.104,,,
2__HCMRO002,HFSE02,2__HCMRO002,,S,BGI Trading Limited,0.000,0.000,_H,Southern,
T_HINB-7,HINB-7,Hinkley Point B Generator 7,NUCLEAR,T,EDF Energy Nuclear Generation,0.000,0.000,,,
T_HINB-8,HINB-8,Hinkley Point B Generator 8,NUCLEAR,T,EDF Energy Nuclear Generation,0.000,0.000,,,
T_HINB-D,HINBD-1,Hinkley Point B Station Demand,,T,EDF Energy Customers Limited,4.000,-8.000,,,
V__KHABI007,HIRWB-1,Hirwaun,,V,Habitat Energy Limited,0.000,0.000,_K,South Wales,
T_HIRWN-1,HIRWN-1,Hirwaun 1,OCGT,T,Hirwaun Power Limited,299.000,-16.000,,,
2__HJERE000,HJERE000,2__HJERE000,,G,Shell Energy UK Limited,0.000,0.000,_H,Southern,
E_HLGLW-1,HLGLW-1,Hill of Glaschyle,WIND,E,ENGIE Power Limited,28.000,-0.400,_P,North Scotland,
V__GFORS004,HLLHG-1,V__GFORS004,,V,Forsa Trading Limited,20.000,0.000,_G,North Western,
E_HLTWW-1,HLTWW-1,Hill of Towie,WIND,E,ScottishPower Energy Retail,48.000,-1.000,_P,North Scotland,
T_HMGTO-1,HMGTO-1,Humber Offshore Wind Farm BMU1,WIND,T,RWE Renewables UK Humber Wind,108.000,-6.000,,,
T_HMGTO-2,HMGTO-2,Humber Offshore Wind Farm BMU2,WIND,T,RWE Renewables UK Humber Wind,111.000,-6.200,,,
T_HOWAO-1,HOWAO-1,HORNSEA_1A,WIND,T,Hornsea 1 Limited,400.000,-6.220,,,
T_HOWAO-2,HOWAO-2,HORNSEA_1B,WIND,T,Hornsea 1 Limited,400.000,-7.260,,,
T_HOWAO-3,HOWAO-3,HORNSEA_1C,WIND,T,Hornsea 1 Limited,400.000,-7.300,,,
T_HOWBO-1,HOWBO-1,HORNSEA_WF_2A,WIND,T,Breesea Limited,440.000,-8.741,,,
T_HOWBO-2,HOWBO-2,HORNSEA_WF_2B,WIND,T,Sonningmay Wind Limited,440.000,-5.805,,,
T_HOWBO-3,HOWBO-3,HORNSEA_WF_2C,WIND,T,Soundmark Wind Limited,440.000,-5.346,,,
E_HRHLW-1,HRHLW-1,Hare Hill Extension Windfarm,WIND,E,SP Renewables (UK) Limited,30.000,-2.000,_N,South Scotland,
T_HRSTB-1,HRSTB-1,T_HRSTB-1,,T,SP Renewables (UK) Limited,52.000,-52.000,,,
T_HRSTW-1,HRSTW-1,Harestanes,WIND,T,SP Renewables (UK) Limited,142.300,-51.000,,,
T_HRTL-1,HRTL-1,Hartlepool Generator 1,NUCLEAR,T,EDF Energy Nuclear Generation,620.000,-51.072,,,
T_HRTL-2,HRTL-2,Hartlepool Generator 2,NUCLEAR,T,EDF Energy Nuclear Generation,620.000,-47.928,,,
V__FFORS001,HRTMG-1,V__FFORS001,,V,Forsa Trading Limited,50.000,0.000,_F,Northern,
2__HIMPO002,HSSE01,2__HIMPO002,,S,SSE Energy Supply Limited,52.564,-52.849,_H,Southern,
T_HUMR-1,HUMR-1,HUMR-1,CCGT,T,VPI Immingham LLP,1283.000,-30.000,,,
T_HUMR-2,HUMR-2,HUMR-2,,T,VPI Immingham Energy Park A,50.000,-8.360,,,
,HUMR-4,,OCGT,,,,,,,
T_HUMRD-1,HUMRD-1,HUMRD-1,,T,VPI Immingham LLP,20.000,-66.700,,,
T_HUNB-7,HUNB-7,Hunterston B Generator 7,NUCLEAR,T,EDF Energy Nuclear Generation,510.000,0.000,,,
T_HUNB-8,HUNB-8,Hunterston B Generator 8,NUCLEAR,T,EDF Energy Nuclear Generation,510.000,0.000,,,
T_HUNB-D,HUNBD-1,Hunterston B Station Demand,,T,EDF Energy Customers Limited,0.000,-4.000,,,
E_HYWDW-1,HYWDW-1,Hywind Generator BMU1,WIND,E,HYWINDSC,30.000,-0.803,_P,North Scotland,
I_I2D-ALEU1,I2D-ALEU1,ATX_IFA2_DEM,,I,Alphataraxia Europium BV,0.000,-1000.000,,,IFA2
I_I2D-ALIP1,I2D-ALIP1,Flow from UK,,I,Energetick ApS,0.000,-1000.000,,,IFA2
I_I2D-ALPE1,I2D-ALPE1,IFA2 Demand,,I,Alpha Energy ApS,0.000,-500.000,,,IFA2
I_I2D-ARON1,I2D-ARON1,IFA2 JAron GB-FR Flow,,I,J.Aron & Company,0.000,-1000.000,,,IFA2
I_I2D-AROS1,I2D-AROS1,AROS Flow FROM UK,,I,Arosource ApS,0.000,-1000.000,,,IFA2
I_I2D-ARTH1,I2D-ARTH1,I_I2D-ARTH1,,I,Aarhus Trading A/S,0.000,-1000.000,,,IFA2
I_I2D-ATLS1,I2D-ATLS1,Atlas GB-FRIFA2,,I,Atlas Energy DAC,0.000,-1000.000,,,IFA2
I_I2D-AXPO1,I2D-AXPO1,I_I2D-AXPO1,,I,Axpo Solutions AG,0.000,-150.000,,,IFA2
I_I2D-BAYW1,I2D-BAYW1,Flow from UK over IFA2,,I,Baywa r.e. Energy Trading GmbH,0.000,-1000.000,,,IFA2
I_I2D-BDEN1,I2D-BDEN1,BDE FROM UK,,I,BD Energy A/S,0.000,-720.000,,,IFA2
I_I2D-BKWE1,I2D-BKWE1,IFA2 Link BKW Flow GB-FR,,I,BKW Energie AG,0.000,-1000.000,,,IFA2
I_I2D-BNPS1,I2D-BNPS1,BNPP Flow FROM UK,,I,BNP Paribas,0.000,-1000.000,,,IFA2
I_I2D-BPGM1,I2D-BPGM1,I_I2D-BPGM1,,I,BP Gas Marketing Limited,0.000,-1000.000,,,IFA2
I_I2D-CACM1,I2D-CACM1,IFA2 Flow out of UK,,I,C A Commodities A/S,0.000,-1000.000,,,IFA2
I_I2D-CBST1,I2D-CBST1,Cobblestone Energy Ltd,,I,Cobblestone Energy,0.000,-1000.000,,,IFA2
I_I2D-CCME1,I2D-CCME1,CCME FROM UK,,I,Castleton Commodities Europe,0.000,-1014.000,,,IFA2
I_I2D-CENT1,I2D-CENT1,IF2NEASDEM,,I,Centrica Energy Limited,0.000,-2000.000,,,IFA2
I_I2D-CETL1,I2D-CETL1,CONRAD FROM UK,,I,Conrad Energy (Trading) Ltd,0.000,-1000.000,,,IFA2
I_I2D-CEZC1,I2D-CEZC1,IFA2 Export,,I,CEZ A.S,0.000,-1000.000,,,IFA2
I_I2D-CFPE1,I2D-CFPE1,CFPE1 FROM UK,,I,CFP Commodities Limited,0.000,-1000.000,,,IFA2
I_I2D-CNGS1,I2D-CNGS1,CNGS_D_IFA2,,I,Cenergise Limited,0.000,-1000.000,,,IFA2
I_I2D-CNRE1,I2D-CNRE1,I_I2D-CNRE1,,I,Compagnie Nationale du Rhone,0.000,-1000.000,,,IFA2
I_I2D-COMM1,I2D-COMM1,I_I2D-COMM1,,I,COMCOM Trading d.o.o,0.000,-1000.000,,,IFA2
I_I2D-CONS1,I2D-CONS1,Constellation IFA2 Cons,,I,Constellation Generation LTD,0.000,-1000.000,,,IFA2
I_I2D-CONV1,I2D-CONV1,I2D-CONV1,,I,Convex Energy GmbH,0.000,-500.000,,,IFA2
I_I2D-COPN1,I2D-COPN1,CET_IFA2,,I,Copenhagen Energy Trading A/S,0.000,-1000.000,,,IFA2
I_I2D-CURR1,I2D-CURR1,I_I2D-CURR1,,I,Current Commodities A/S,0.000,-2000.000,,,IFA2
I_I2D-DARE1,I2D-DARE1,I_I2D-DARE1,,I,Dare Power Ltd,0.000,-2000.000,,,IFA2
I_I2D-DMCC1,I2D-DMCC1,Cobblestone Energy DMCC,,I,Cobblestone Energy DMCC,0.000,-1000.000,,,IFA2
I_I2D-DSKC1,I2D-DSKC1,DC-IFA2-C,,I,Danske Commodities A/S,0.000,-1500.000,,,IFA2
I_I2D-DUEN1,I2D-DUEN1,IF2_UK-FR,,I,Duferco Energia S.p.A.,0.000,-200.000,,,IFA2
I_I2D-DUGE1,I2D-DUGE1,DXT UK-FR2,,I,DXT Commodities SA,0.000,-1000.000,,,IFA2
I_I2D-DVAL1,I2D-DVAL1,I_I2D-DVAL1,,I,DVALIN ApS,0.000,-1000.000,,,IFA2
I_I2D-DVTD1,I2D-DVTD1,DV GB-FRIFA2,,I,DV Trading (Europe) P/S,0.000,-1000.000,,,IFA2
I_I2D-EDFT1,I2D-EDFT1,EDFT IFA2 Demand,,I,EDF TRADING LIMITED,0.000,-1066.502,,,IFA2
I_I2D-EDMK1,I2D-EDMK1,Energidk2_D,,I,Mind Energy A/S,0.000,-1500.000,,,IFA2
I_I2D-EENG1,I2D-EENG1,I_I2D-EENG1,,I,Eio Energi ApS,0.000,-50.000,,,IFA2
I_I2D-ELEE1,I2D-ELEE1,I2D-ELEE1,,I,Electrabel SA,0.000,-1000.000,,,IFA2
I_I2D-ELTR1,I2D-ELTR1,EETL IFA2 FRGB BMU,,I,ElectroRoute Energy Trading,0.000,-1000.000,,,IFA2
I_I2D-ENBW1,I2D-ENBW1,I_I2D-ENBW1,,I,EnBW Energie Ba-Wu AG,0.000,-1000.000,,,IFA2
I_I2D-ENKI1,I2D-ENKI1,NANOTRAD Dem,,I,ENKI TRADING S.R.O.,0.000,-500.000,,,IFA2
I_I2D-ENSC1,I2D-ENSC1,Flow from UK,,I,EnSCo Energy Services Company,0.000,-1000.000,,,IFA2
I_I2D-ENSP1,I2D-ENSP1,I2-ENSP-TO-UK,,I,enspired GmbH,0.000,-1000.000,,,IFA2
I_I2D-ENTC1,I2D-ENTC1,ENTC1 from UK,,I,Energetech Europe BV,0.000,-500.000,,,IFA2
I_I2D-ENZL1,I2D-ENZL1,IFA2 flow FROM UK,,I,ENZOL Energy Trading ApS,0.000,-800.000,,,IFA2
I_I2D-EPCO1,I2D-EPCO1,EPCAS_IFA2_DEM,,I,EP COMMODITIES A.S,0.000,-300.000,,,IFA2
I_I2D-EWII1,I2D-EWII1,EWII-UK-TO-IFA2,,I,EWII Energi A/S,0.000,-1000.000,,,IFA2
I_I2D-EXXO1,I2D-EXXO1,From UK,,I,EXXONMOBIL GAS MARKETING,0.000,-1000.000,,,IFA2
I_I2D-EZCO1,I2D-EZCO1,Flow from UK,,I,ENZEE Commodities A/S,0.000,-1000.000,,,IFA2
I_I2D-EZPD1,I2D-EZPD1,Ezpada AG,,I,Ezpada AG,0.000,-500.000,,,IFA2
I_I2D-FLEX1,I2D-FLEX1,I_I2D-FLEX1,,I,Citadel FlexPower GmbH,0.000,-1000.000,,,IFA2
I_I2D-GASE1,I2D-GASE1,IFA2 EGM flow GB-FR,,I,ENGIE GLOBAL MARKETS,0.000,-1000.000,,,IFA2
I_I2D-GAZP1,I2D-GAZP1,GAZP_IFA2_D,,I,SEFE Marketing & Trading LTD,0.000,-500.000,,,IFA2
I_I2D-GENI1,I2D-GENI1,From UK,,I,"GEN-I, d.o.o.",0.000,-1000.000,,,IFA2
I_I2D-GLEN1,I2D-GLEN1,Flow from UK,,I,Glencore Energy UK Ltd,0.000,-1000.000,,,IFA2
I_I2D-GRMC1,I2D-GRMC1,Flows out of  the UK,,I,A/S Global Risk Management Ltd,0.000,-1000.000,,,IFA2
I_I2D-GRMT1,I2D-GRMT1,GRM,,I,A/S Global Risk Management Ltd,0.000,-500.000,,,IFA2
I_I2D-HART1,I2D-HART1,Flow from UK,,I,HAPPGCO,0.000,-1000.000,,,IFA2
I_I2D-HELI1,I2D-HELI1,HELIOS IFA2 DEM,,I,Helios Power Trading A/S,0.000,-1000.000,,,IFA2
I_I2D-IBES1,I2D-IBES1,IBES_IFA2_DEM,,I,Iberdrola Energia Espana S.AU.,0.000,-1000.000,,,IFA2
I_I2D-IDCT1,I2D-IDCT1,Induct_UKIFA2,,I,Inductive Energy A/S,0.000,-1000.000,,,IFA2
I_I2D-IMPT1,I2D-IMPT1,Flow from UK,,I,Impact Energy Trading A/S,0.000,-1000.000,,,IFA2
I_I2D-INCM1,I2D-INCM1,IFA2INCOMASC,,I,IN COMMODITIES A/S,0.000,-1000.000,,,IFA2
I_I2D-JWME1,I2D-JWME1,I_I2D-JWME1,,I,JWM Energia,0.000,-1000.000,,,IFA2
I_I2D-KVAS1,I2D-KVAS1,I_I2D-KVAS1,,I,Kvasir Technologies,0.000,-50.000,,,IFA2
I_I2D-MCRA1,I2D-MCRA1,Mercuria flow from UK,,I,Mercuria Energy Trading SA,0.000,-1000.000,,,IFA2
I_I2D-MELT1,I2D-MELT1,MITCO GB-IFA2,,I,Metlen International AG,0.000,-1000.000,,,IFA2
I_I2D-METL1,I2D-METL1,MITCO GB-IFA2,,I,Metlen International AG,0.000,-1000.000,,,IFA2
I_I2D-MFTE1,I2D-MFTE1,MFTE IFA2 Demand,,I,MFT Energy A/S,0.000,-1000.000,,,IFA2
I_I2D-MQBN1,I2D-MQBN1,Macquarie Bank IFA2,,I,Macquarie Bank Limited,0.000,-1000.000,,,IFA2
I_I2D-NDPL1,I2D-NDPL1,NDPL-IFA2-C,,I,European Market Coupling,0.000,-1150.000,,,IFA2
I_I2D-NEAS1,I2D-NEAS1,IF2NEASDEN,,I,Centrica Energy Trading A/S,0.000,-2000.000,,,IFA2
I_I2D-NEHO1,I2D-NEHO1,IFA2 NEH-D,,I,Nordic Energy House ApS,0.000,-1000.000,,,IFA2
I_I2D-NITR1,I2D-NITR1,IFA2 FROM UK,,I,Nitor Energy A/S,0.000,-1000.000,,,IFA2
I_I2D-NORL1,I2D-NORL1,NORLYS_IFA2_C,,I,Norlys Energy Trading A/S,0.000,-2000.000,,,IFA2
I_I2D-NTPL1,I2D-NTPL1,I_I2D-NTPL1,,I,Northpool BV,0.000,-1000.000,,,IFA2
I_I2D-NVAL1,I2D-NVAL1,NVALUE EXPORT2,,I,Nvalue AG,0.000,-500.000,,,IFA2
I_I2D-OMPX1,I2D-OMPX1,OMPEX_IFA2_GB-FR,,I,Ompex AG,0.000,-1000.000,,,IFA2
I_I2D-OPMX1,I2D-OPMX1,I_I2D-OPMX1,,I,Optimax Energy GmbH,0.000,-1000.000,,,IFA2
I_I2D-OUTL1,I2D-OUTL1,I_I2D-OUTL1,,I,Outlook Energy Ltd,0.000,-2000.000,,,IFA2
I_I2D-PEAK1,I2D-PEAK1,PGIFA2 Demand,,I,Peak Gen Top Co Limited,0.000,-1000.000,,,IFA2
I_I2D-PETC1,I2D-PETC1,PCIL UK TO FR IFA2,,I,PETROCHINA INTL LONDON CO. LTD,0.000,-1000.000,,,IFA2
I_I2D-PLAN1,I2D-PLAN1,I_I2D-PLAN1,,I,BCM Energy,0.000,-400.000,,,IFA2
I_I2D-PREP1,I2D-PREP1,Prepay FROM UK,,I,Yuno Limited,0.000,-1000.000,,,IFA2
I_I2D-PWMR1,I2D-PWMR1,IFA2 EXPORT,,I,PowerMart ApS,0.000,-1000.000,,,IFA2
I_I2D-QTPT1,I2D-QTPT1,QPT FROM UK,,I,Quantum Power Trading,0.000,-1000.000,,,IFA2
I_I2D-QUAR1,I2D-QUAR1,IFA2 DEMAND,,I,Quark Energy Trading Limited,0.000,-1000.000,,,IFA2
I_I2D-QUEN1,I2D-QUEN1,Flow FROM UK,,I,QUENT ApS,0.000,-1000.000,,,IFA2
I_I2D-RESP1,I2D-RESP1,RESA-IFA2-FU,,I,RESPECT ENERGY S.A.,0.000,-700.000,,,IFA2
I_I2D-RISQ1,I2D-RISQ1,RISQ from the UK,,I,Risq Energy Limited,0.000,-1000.000,,,IFA2
I_I2D-RWES1,I2D-RWES1,RWEST IFA2 Export,,I,RWE Supply and Trading GmbH,0.000,-1000.000,,,IFA2
I_I2D-SEAG1,I2D-SEAG1,I_I2D-SEAG1,,I,Seagull Energy Trading,0.000,-2000.000,,,IFA2
I_I2D-SECF1,I2D-SECF1,IFA2 Dem,,I,Second Foundation Trading AG,0.000,-200.000,,,IFA2
I_I2D-SETL1,I2D-SETL1,I_I2D-SETL1,,I,Shell Energy Europe Limited,0.000,-1000.000,,,IFA2
I_I2D-SIRI1,I2D-SIRI1,I_I2D-SIRI1,,I,Sirius Energy SA,0.000,-1000.000,,,IFA2
I_I2D-SSEG1,I2D-SSEG1,SSE EUI-IFA2 GBNL,,I,SSE Energy Supply Limited,0.000,0.000,,,IFA2
I_I2D-STAT1,I2D-STAT1,IFA2 Export,,I,Statkraft Markets Gmbh,0.000,-1000.000,,,IFA2
I_I2D-STGS1,I2D-STGS1,STG CH IFA2 GB-FR,,I,STG Switzerland GmbH,0.000,-1000.000,,,IFA2
I_I2D-TGPL1,I2D-TGPL1,IFA2 (FR to UK Flow),,I,TotalEnergies Gas & Power Ltd,0.000,-1000.000,,,IFA2
I_I2D-TILD1,I2D-TILD1,I_I2D-TILD1,,I,Tilde Energy Trading A/S,0.000,-1000.000,,,IFA2
I_I2D-TRFD1,I2D-TRFD1,IFA2_EX,,I,Trafigura Denmark ApS,0.000,-1000.000,,,IFA2
I_I2D-TRFG1,I2D-TRFG1,IFA2_EX,,I,Trafigura Trading Sarl,0.000,-1000.000,,,IFA2
I_I2D-TRGY1,I2D-TRGY1,Flow from UK,,I,Tradergy S. L.,0.000,-1400.000,,,IFA2
I_I2D-TRLS1,I2D-TRLS1,IFA2_TSR_D,,I,Engelhart CTP Renewables GmbH,0.000,-1000.000,,,IFA2
I_I2D-TRSI1,I2D-TRSI1,Flow FROM UK,,I,Trasteel International SA,0.000,-1000.000,,,IFA2
I_I2D-VOLT1,I2D-VOLT1,IFA2 FROM UK,,I,Volta Energy DAC,0.000,-250.000,,,IFA2
I_I2D-VSAL1,I2D-VSAL1,I_I2D-VSAL1,,I,VITOL SA,0.000,-1000.000,,,IFA2
I_I2D-VTET1,I2D-VTET1,VET-IFA2_D,,I,Vattenfall Energy Trading,0.000,-1000.000,,,IFA2
I_I2D-WOLF1,I2D-WOLF1,WT IFA2 Import BMU,,I,Wolfram Trading ApS,0.000,-800.000,,,IFA2
I_I2D-XNON1,I2D-XNON1,XENON-I2G-C,,I,XENON CAPITAL MARKETS LTD,0.000,-1000.000,,,IFA2
I_I2G-ALEU1,I2G-ALEU1,ATX_IFA2_GEN,,I,Alphataraxia Europium BV,1000.000,0.000,,,IFA2
I_I2G-ALIP1,I2G-ALIP1,Flow into UK,,I,Energetick ApS,1000.000,0.000,,,IFA2
